category,short_description
SPORTS,one potential beau said being friendzoned by the olympian would look perfect on his resume
POLITICS,its been freezing in washington for the past few months but it wasnt the nuclear winter some predicted when sen harry reid ushered in the most important changes to senate procedure in a generation
POLITICS,but questions remain russia has been suspected of aiming some sort of weapon at american diplomats abroad that causes debilitating ailments
SPORTS,dont ask him to rephrase it without cursing either
POLITICS,while the government works to sweep asylumseekers off its streets and decant them back into the interior of the african continent the vast majority of jewish religious institutions and lay leaders in israel have not made any attempt to aid the africans
POLITICS,we must not be complicit in the white supremacist agenda of this current administration
SPORTS,odom is still recovering from his october overdose
SPORTS,and alis family and friends are outraged
POLITICS,if they dont fulfill their lawful duty when subpoenaed they too may be prosecuted said the democrat whos on the committee investigating jan 6
POLITICS,the process leaves migrants with a lot of uncertainty and little legal protection
POLITICS,conservationists question the science behind the state wildlife commissions removal of protections for the predators
SPORTS,germs be damned
SPORTS,whatever happens this fan has already won the nba finals
SPORTS,the college community has been told over and over again that davidson college will have raised its national profile but that profile in national surveys is a rather high one for the right reasons when recruiting students
POLITICS,mr donald there is a rumor going around that if you were elected president you might not serve
POLITICS,if you can make it there you can make it anywhere
SPORTS,the womens sports website killed its comments section months ago
POLITICS,the height of foolishness
SPORTS,a moment neither aaron miller nor lebron james will soon forget
POLITICS,every senator is now going to have to say whether theyre for terrorists getting guns or against terrorists getting guns
SPORTS,this is perfection unlike the mets
POLITICS,and at a fancy postelection dinner these two clowns get their just desserts
SPORTS,"twas the night before knicksmas when all through the garden
not a big man was stirring not even rasheed
the high tops were laced by the lockers with care
in hopes that st knick soon would be there"
POLITICS,one 16yearold filed a complaint alleging that a border patrol agent threw him down and smashed his head into the ground with his boot
SPORTS,ah the old have a baby in front of the free throw shooter trick
POLITICS,the emblems original bearer would be rolling over in his grave a grandson tells the new york times
POLITICS,there is belated but considerable press attention to donald trumps nearly inextricable conflicts of interest he and his
SPORTS,shanahan responds i tried to put a good game plan together but i wasnt sure how healthy you were so it was hard without
SPORTS,south carolina was threatening to run away with the title before mississippi state clawed back in the third quarter
POLITICS,trump always has tells right joyce vance told msnbcs ari melber
SPORTS,liar liar speedo on fire
SPORTS,the replacement refs continued to make headlines for the wrong reasons in week 3 it was unclear whether the play would have
